date,symbol,open,high,low,close,volume,adj_close
2022-01-03,SYN_A,99.8284,100.5501,97.1593,98.3396,1359086,98.3396
2022-01-04,SYN_A,98.2496,98.3538,94.6505,96.5814,1690056,96.5814
2022-01-05,SYN_A,96.5469,97.9138,96.1041,97.8479,1316338,97.8479
2022-01-06,SYN_A,97.7770,97.8568,97.7019,97.8548,4022497,97.8548
2022-01-07,SYN_A,97.9442,100.5535,97.5950,100.3567,2502734,100.3567
2022-01-10,SYN_A,100.1738,101.1809,99.0049,99.9277,2239265,99.9277
2022-01-11,SYN_A,100.0023,100.0969,98.4737,98.4983,2010547,98.4983
2022-01-12,SYN_A,98.9134,100.4436,98.8753,99.1868,1966244,99.1868
2022-01-13,SYN_A,99.2141,99.8437,98.9819,99.7976,2242239,99.7976
2022-01-14,SYN_A,100.0941,102.8747,99.4702,101.0919,1839222,101.0919
2022-01-17,SYN_A,100.8148,101.5059,100.6376,100.9220,2088517,100.9220
2022-01-18,SYN_A,100.7438,102.4384,99.4285,101.2438,2576031,101.2438
2022-01-19,SYN_A,101.3460,101.5612,100.0519,100.1606,3791558,100.1606
2022-01-20,SYN_A,100.5198,103.4582,99.6306,102.9627,1512168,102.9627
2022-01-21,SYN_A,103.0278,103.5330,102.3576,102.7487,2428614,102.7487
2022-01-24,SYN_A,102.5286,102.5607,101.0404,102.3156,4100560,102.3156
2022-01-25,SYN_A,102.5263,103.7064,102.1050,103.2577,3906913,103.2577
2022-01-26,SYN_A,103.5168,104.0269,103.4555,103.8206,2044739,103.8206
2022-01-27,SYN_A,103.4659,105.2154,102.7979,104.2750,2311064,104.2750
2022-01-28,SYN_A,104.3412,105.8689,101.9181,104.1861,1589476,104.1861
2022-01-31,SYN_A,104.2821,107.4119,103.7495,106.3863,1974309,106.3863
2022-02-01,SYN_A,106.5204,106.9749,106.0702,106.4831,1345831,106.4831
2022-02-02,SYN_A,106.4128,108.4361,104.1883,104.8786,5218450,104.8786
2022-02-03,SYN_A,104.6040,104.6737,103.9276,103.9486,2247852,103.9486
2022-02-04,SYN_A,103.6775,103.8555,103.3544,103.3691,2269772,103.3691
2022-02-07,SYN_A,102.9412,103.0007,102.1930,102.9151,4181843,102.9151
2022-02-08,SYN_A,102.3798,106.9354,101.6844,106.1837,2294877,106.1837
2022-02-09,SYN_A,106.0121,106.6446,105.4748,106.2211,2813192,106.2211
2022-02-10,SYN_A,106.0014,109.4415,105.6505,107.1673,4848981,107.1673
2022-02-11,SYN_A,106.8518,106.8524,106.7121,106.7891,2906888,106.7891
2022-02-14,SYN_A,106.9819,107.8568,105.3719,106.7818,1677210,106.7818
2022-02-15,SYN_A,106.5972,109.5430,104.5856,108.3914,3101019,108.3914
2022-02-16,SYN_A,108.1963,108.2977,107.6051,107.8645,2619333,107.8645
2022-02-17,SYN_A,107.9740,109.1829,107.7452,108.2345,1949250,108.2345
2022-02-18,SYN_A,108.1313,109.4062,106.0580,107.0624,2457726,107.0624
2022-02-21,SYN_A,107.1730,108.8283,107.1724,108.6587,1694226,108.6587
2022-02-22,SYN_A,108.6270,108.8177,106.2778,106.5447,2458585,106.5447
2022-02-23,SYN_A,106.4510,107.1301,103.9223,104.8440,1166157,104.8440
2022-02-24,SYN_A,104.8043,104.9598,102.0244,102.0969,2478127,102.0969
2022-02-25,SYN_A,102.2611,102.2736,101.0751,101.2480,2769585,101.2480
2022-02-28,SYN_A,101.4489,102.1226,100.4060,101.2957,2663760,101.2957
2022-03-01,SYN_A,101.3069,102.6415,101.2502,102.5766,1863724,102.5766
2022-03-02,SYN_A,102.6775,103.7977,101.6227,102.9891,1752356,102.9891
2022-03-03,SYN_A,103.1622,106.1406,103.0391,104.8125,3895229,104.8125
2022-03-04,SYN_A,104.6570,105.4299,104.2848,105.1012,4324295,105.1012
2022-03-07,SYN_A,105.0590,107.3635,105.0154,106.5970,1371111,106.5970
2022-03-08,SYN_A,106.5157,107.7119,106.2756,107.4312,1747946,107.4312
2022-03-09,SYN_A,107.6818,107.7841,105.1187,105.5453,3891103,105.5453
2022-03-10,SYN_A,105.7139,107.0289,104.7870,106.8136,2667283,106.8136
2022-03-11,SYN_A,106.6608,106.7671,105.6430,105.7258,3133190,105.7258
2022-03-14,SYN_A,105.3516,107.0596,105.3225,106.7454,3113257,106.7454
2022-03-15,SYN_A,106.9328,106.9595,105.6911,105.7257,1427036,105.7257
2022-03-16,SYN_A,105.6744,105.8436,104.4177,104.5857,2315116,104.5857
2022-03-17,SYN_A,104.2506,106.1254,103.6350,105.7524,6313549,105.7524
2022-03-18,SYN_A,105.6347,105.9890,102.1091,103.0031,3604781,103.0031
2022-03-21,SYN_A,103.1168,103.3145,101.4589,101.5953,3078885,101.5953
